project,camera,mark,Model,FOV,species,image_name,number,dates,times,diel,datetimes,deltatime,longitude,latitude,radian
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0078.JPG,5,3/12/24,4:23:37,0.157615741,3/12/24 4:23,1,343014,1026380,1.150244699
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0079.JPG,5,3/12/24,4:23:37,0.157615741,3/12/24 4:23,0,343014,1026380,1.150244699
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0078 (3).JPG,5,3/12/24,4:23:37,0.157615741,3/12/24 4:23,0,343014,1026380,1.150244699
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0079 (3).JPG,5,3/12/24,4:23:37,0.157615741,3/12/24 4:23,0,343014,1026380,1.150244699
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0081.JPG,6,3/12/24,4:24:05,0.157615741,3/12/24 4:24,28,343014,1026380,1.152280917
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0081 (3).JPG,6,3/12/24,4:24:05,0.157615741,3/12/24 4:24,0,343014,1026380,1.152280917
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0082.JPG,6,3/12/24,4:24:06,0.157615741,3/12/24 4:24,1,343014,1026380,1.152353639
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0083.JPG,6,3/12/24,4:24:06,0.157615741,3/12/24 4:24,0,343014,1026380,1.152353639
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0082 (3).JPG,6,3/12/24,4:24:06,0.157615741,3/12/24 4:24,0,343014,1026380,1.152353639
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0083 (3).JPG,6,3/12/24,4:24:06,0.157615741,3/12/24 4:24,0,343014,1026380,1.152353639
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0085.JPG,4,3/12/24,4:24:28,0.157615741,3/12/24 4:24,22,343014,1026380,1.153953524
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0085 (3).JPG,4,3/12/24,4:24:28,0.157615741,3/12/24 4:24,0,343014,1026380,1.153953524
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0086.JPG,3,3/12/24,4:24:29,0.157615741,3/12/24 4:24,1,343014,1026380,1.154026246
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0087.JPG,3,3/12/24,4:24:29,0.157615741,3/12/24 4:24,0,343014,1026380,1.154026246
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0086 (3).JPG,3,3/12/24,4:24:29,0.157615741,3/12/24 4:24,0,343014,1026380,1.154026246
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0087 (3).JPG,3,3/12/24,4:24:29,0.157615741,3/12/24 4:24,0,343014,1026380,1.154026246
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0089.JPG,2,3/12/24,4:24:43,0.157615741,3/12/24 4:24,14,343014,1026380,1.155044355
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0089 (3).JPG,2,3/12/24,4:24:43,0.157615741,3/12/24 4:24,0,343014,1026380,1.155044355
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0090.JPG,2,3/12/24,4:24:44,0.157615741,3/12/24 4:24,1,343014,1026380,1.155117077
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0091.JPG,2,3/12/24,4:24:44,0.157615741,3/12/24 4:24,0,343014,1026380,1.155117077
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0090 (3).JPG,2,3/12/24,4:24:44,0.157615741,3/12/24 4:24,0,343014,1026380,1.155117077
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0091 (3).JPG,2,3/12/24,4:24:44,0.157615741,3/12/24 4:24,0,343014,1026380,1.155117077
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0093.JPG,2,3/12/24,4:25:19,0.157615741,3/12/24 4:25,35,343014,1026380,1.157662348
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0093 (3).JPG,2,3/12/24,4:25:19,0.157615741,3/12/24 4:25,0,343014,1026380,1.157662348
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0094.JPG,1,3/12/24,4:25:20,0.157615741,3/12/24 4:25,1,343014,1026380,1.15773507
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0095.JPG,1,3/12/24,4:25:20,0.157615741,3/12/24 4:25,0,343014,1026380,1.15773507
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0094 (3).JPG,1,3/12/24,4:25:20,0.157615741,3/12/24 4:25,0,343014,1026380,1.15773507
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0095 (3).JPG,1,3/12/24,4:25:20,0.157615741,3/12/24 4:25,0,343014,1026380,1.15773507
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0097.JPG,3,3/12/24,4:25:34,0.157615741,3/12/24 4:25,14,343014,1026380,1.158753179
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0097 (3).JPG,3,3/12/24,4:25:34,0.157615741,3/12/24 4:25,0,343014,1026380,1.158753179
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0098.JPG,3,3/12/24,4:25:35,0.157615741,3/12/24 4:25,1,343014,1026380,1.158825901
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0099.JPG,3,3/12/24,4:25:35,0.157615741,3/12/24 4:25,0,343014,1026380,1.158825901
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0098 (3).JPG,3,3/12/24,4:25:35,0.157615741,3/12/24 4:25,0,343014,1026380,1.158825901
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0099 (3).JPG,3,3/12/24,4:25:35,0.157615741,3/12/24 4:25,0,343014,1026380,1.158825901
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0013 (3).JPG,4,3/16/24,3:14:26,0.157615741,3/16/24 3:14,341873,342968,1026415,0.848375461
Last,CAMERA 5,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0014 (3).JPG,4,3/16/24,3:14:26,0.157615741,3/16/24 3:14,0,342968,1026415,0.848375461
